match_id,map,hill_num,time_s,team,score,cumulative_score
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,100,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,101,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,102,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,103,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,104,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,105,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,106,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,107,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,108,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,109,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,110,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,111,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,112,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,113,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,114,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,115,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,116,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,117,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,118,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,119,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,120,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,121,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,122,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,123,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,124,RED RESERVE,0,41
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,2,125,RED RESERVE,24,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,126,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,127,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,128,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,129,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,130,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,131,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,132,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,133,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,134,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,135,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,136,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,137,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,138,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,139,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,140,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,141,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,142,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,143,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,144,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,145,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,146,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,147,RED RESERVE,0,65
ab7e12d2-8217-5561-b6c8-927431692315,Sainte Marie du Mont,3,148,RED RESERVE,0,65
